,,,Disponible en Orbinox?,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No
,,Tipo de material,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,No metales,No metales,No metales
,,Material,Plástico ABS,Acetal (Delrin),CPVC,Epoxy,Hytrel,LDPE,Noryl,Nylon,Policarbonato,Polipropileno,PPS (Ryton),PTFE (Teflón),PVC,PVDF (Kynar),Buna N (nitrilo),EPDM,Hypalón,Kel-F,Goma natural,Neopreno,Silicona,Tygón,Vitón,Acero inoxidable 304,Acero inoxidable 316,Aluminio,Latón,Bronce,Carpenter 20,Fundición hierro,Cobre,Hastelloy C,Titanio,"Carbón, grafito",Cerámica Al2O3,Cerámica magnética
,Hidrocarburos,Butadieno,,,1,1,,,,1,,,1,2,1,,,,,,,,,,,,1,,,,,,,,,,,
,Hidrocarburos,Butano,,,1,1,,1,,2,,1,,,1,,,,,,,,,,,2,2,,,,,,,,,,,
,Alcoholes,Alcohol butílico (butanol),,,,,1,2,,1,1,1,,2,1,,,,,1,,,,,,,1,,,,,,,,,,,
,Solventes orgánicos,Acetato de butilo,,,1,1,,1,,,,1,,,,2,,,,1,,,,,,,,,,,1,,,,,,,
,Aminas y nitrogenados,Butilamina,,1,,2,,1,,2,,1,,2,,1,,,,,,,1,,,,,2,,,,,,2,2,2,,
,Solventes orgánicos,Éter butílico,,,,1,,,,2,,,2,1,2,1,2,,,1,,,,2,,,1,1,,,,,,,,1,,
,Solventes orgánicos,Ftalato de dibutilo,,,,2,,1,2,2,,2,,2,,1,,2,,1,,,1,,1,1,2,2,,,,,,2,,2,,
,Hidrocarburos,Butileno (buteno),,,,1,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido butírico,,,,,1,,,1,,1,,2,1,,,,,,,,,,1,2,2,,,,,,,1,,,,
,Productos alimenticios,Café,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cal,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Bisulfato de calcio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Bisulfuro de calcio,,,1,,1,1,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,
,Sales,Bisulfito de calcio,,,1,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,Sales,Carbonato de calcio,,,,1,,1,2,,2,,,,2,,,,,,,,,,,1,,,,,1,,,,,,,
,Sales,Clorato de calcio,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cloruro de calcio,,,2,1,1,2,,1,,2,,,,,,,,,,,,,,2,2,,,,,,,,,,,
,Bases,Hidróxido de calcio,,,2,1,1,2,2,2,,2,,,,2,,,,,,,,2,,1,,1,,,,,,,,,,
,Sales,Hipoclorito de calcio,,,1,1,1,1,,,,1,,,1,,1,1,,1,,,,,,1,1,,,,,,,,1,,,
,Sales,Nitrato de calcio,,,2,2,,1,2,1,2,2,,2,2,2,2,2,1,1,1,2,1,2,2,1,2,1,,2,,,,2,2,2,,
,Bases,Óxido de calcio,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Sulfato de calcio,,,2,2,,1,,,2,,,,2,,2,,,,,,,,,,,,,,1,,,,,,,
,Sales,Calgon (hexametafosfato de sodio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
